,course,syllabus
0,Advanced Hands on fMRI Analysis,https://www.esse3.unitn.it/Guide/PaginaADErogata.do?ad_er_id=2021*N0*N0*S2*53133*94887&ANNO_ACCADEMICO=2021&mostra_percorsi=S
1,Advanced social networks,https://www.esse3.unitn.it/Guide/PaginaADErogata.do?ad_er_id=2021*N0*N0*S1*50818*94309&ANNO_ACCADEMICO=2021&mostra_percorsi=S
2,Bayesian Statistics,https://www.esse3.unitn.it/Guide/PaginaADErogata.do?ad_er_id=2021*N0*N0*S2*52095*93512&ANNO_ACCADEMICO=2021&mostra_percorsi=S
3,Behavioural Economics,https://www.esse3.unitn.it/Guide/PaginaADErogata.do?ad_er_id=2021*N0*N0*S1*51099*94141&ANNO_ACCADEMICO=2021&mostra_percorsi=S
4,Big Data Technologies,https://www.esse3.unitn.it/Guide/PaginaADErogata.do?ad_er_id=2021*N0*N0*S2*51951*93485&ANNO_ACCADEMICO=2021&mostra_percorsi=S
5,Bio-Inspired Artificial Intelligence,https://www.esse3.unitn.it/Guide/PaginaADErogata.do?ad_er_id=2021*N0*N0*S2*51690*93700&ANNO_ACCADEMICO=2021&mostra_percorsi=S
6,Computational Linguistics,https://www.esse3.unitn.it/Guide/PaginaADErogata.do?ad_er_id=2021*N0*N0*S1*53118*93505&ANNO_ACCADEMICO=2021&mostra_percorsi=S
7,Computational Social Science,https://www.esse3.unitn.it/Guide/PaginaADErogata.do?ad_er_id=2021*N0*N0*S2*52072*95574&ANNO_ACCADEMICO=2021&mostra_percorsi=S
8,Data mining,https://www.esse3.unitn.it/Guide/PaginaADErogata.do?ad_er_id=2021*N0*N0*S1*51203*93494&ANNO_ACCADEMICO=2021&mostra_percorsi=S
9,Data science and Psychology: Methods and applications,https://www.esse3.unitn.it/
10,Data science and Sociology: methods and applications,https://www.esse3.unitn.it/
11,Data visualization Lab,https://www.esse3.unitn.it/Guide/PaginaADErogata.do?ad_er_id=2021*N0*N0*S2*51112*93491&ANNO_ACCADEMICO=2021&mostra_percorsi=S
12,Decision and Risk Analysis,https://www.esse3.unitn.it/Guide/PaginaADErogata.do?ad_er_id=2021*N0*N0*S2*53460*95396&ANNO_ACCADEMICO=2021&mostra_percorsi=S
13,Deep Learning Lab,https://www.esse3.unitn.it/Guide/PaginaADErogata.do?ad_er_id=2021*N0*N0*M1*52107*93526&ANNO_ACCADEMICO=2021&mostra_percorsi=S
14,Designing and programming the Internet of Things (IoT),https://www.esse3.unitn.it/Guide/PaginaADErogata.do?ad_er_id=2021*N0*N0*S2*51390*94144&ANNO_ACCADEMICO=2021&mostra_percorsi=S
15,Digital social data,https://www.esse3.unitn.it/Guide/PaginaADErogata.do?ad_er_id=2021*N0*N0*S1*50811*91804&ANNO_ACCADEMICO=2021&mostra_percorsi=S
16,Distributed systems for measurement and automation,https://www.esse3.unitn.it/Guide/PaginaADErogata.do?ad_er_id=2021*N0*N0*S1*51341*91584&ANNO_ACCADEMICO=2021&mostra_percorsi=S
17,Economic and labour sociology,https://www.esse3.unitn.it/Guide/PaginaADErogata.do?ad_er_id=2021*N0*N0*S1*50812*91357&ANNO_ACCADEMICO=2021&mostra_percorsi=S
18,Embedded Systems,https://www.esse3.unitn.it/Guide/PaginaADErogata.do?ad_er_id=2021*N0*N0*S1*53021*95340&ANNO_ACCADEMICO=2021&mostra_percorsi=S
19,Enterprise information system,https://www.esse3.unitn.it/Guide/PaginaADErogata.do?ad_er_id=2021*N0*N0*S1*53044*92078&ANNO_ACCADEMICO=2021&mostra_percorsi=S
20,Fundamental Hands on Functional Neuroimaging Analysis,https://www.esse3.unitn.it/Guide/PaginaADErogata.do?ad_er_id=2021*N0*N0*S1*53053*94879&ANNO_ACCADEMICO=2021&mostra_percorsi=S
21,Geometry and Topology for Data Analysis,https://www.esse3.unitn.it/Guide/PaginaADErogata.do?ad_er_id=2021*N0*N0*S2*51404*93072&ANNO_ACCADEMICO=2021&mostra_percorsi=S
22,"Geospatial analysis and representation
for data science",https://www.esse3.unitn.it/
23,High Performance Computing for Data Science,https://www.esse3.unitn.it/Guide/PaginaADErogata.do?ad_er_id=2021*N0*N0*S1*51298*94966&ANNO_ACCADEMICO=2021&mostra_percorsi=S
24,"Information, Knowledge and Service Management",https://www.esse3.unitn.it/Guide/PaginaADErogata.do?ad_er_id=2021*N0*N0*S2*51583*93490&ANNO_ACCADEMICO=2021&mostra_percorsi=S
25,Intellectual Property and Competition Law,https://www.esse3.unitn.it/Guide/PaginaADErogata.do?ad_er_id=2021*N0*N0*S1*51791*94145&ANNO_ACCADEMICO=2021&mostra_percorsi=S
26,Internship,https://www.esse3.unitn.it/Guide/PaginaADErogata.do?ad_er_id=2021*N0*N0*M1*56911*94208&ANNO_ACCADEMICO=2021&mostra_percorsi=S
27,Introduction to Computer and Network Security,https://www.esse3.unitn.it/Guide/PaginaADErogata.do?ad_er_id=2021*N0*N0*S1*51780*93219&ANNO_ACCADEMICO=2021&mostra_percorsi=S
28,Introduction to Machine Learning,https://www.esse3.unitn.it/Guide/PaginaADErogata.do?ad_er_id=2021*N0*N0*S2*51424*95012&ANNO_ACCADEMICO=2021&mostra_percorsi=S
29,Introduction to Machine Learning for Natural Language Processing,https://www.esse3.unitn.it/Guide/PaginaADErogata.do?ad_er_id=2021*N0*N0*S2*53098*93503&ANNO_ACCADEMICO=2021&mostra_percorsi=S
